"attributes","Id","IsDeleted","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","NumberComponentsDeployed","NumberComponentErrors","NumberComponentsTotal","NumberTestsCompleted","NumberTestErrors","NumberTestsTotal","CheckOnly","IgnoreWarnings","RollbackOnError","Type","StartDate","CompletedDate","CanceledById","RunTestsEnabled","ChangeSetName","ErrorStatusCode","Status","StateDetail","ErrorMessage","AllowMissingFiles","AutoUpdatePackage","PurgeOnDelete","SinglePackage","TestLevel"
"{""type"":""DeployRequest"",""url"":""/services/data/v55.0/tooling/sobjects/DeployRequest/0Af3h00000QZQtICAX""}","0Af3h00000QZQtICAX",false,"2022-07-12T20:52:55.000+0000","0053h000002xQ5sAAE","2022-07-12T20:54:36.000+0000","0053h000002xQ5sAAE","2022-07-12T20:54:36.000+0000",1,0,1,25,5,75,false,false,true,"Api","2022-07-12T20:52:56.000+0000","2022-07-12T20:54:36.000+0000","0053h000002xQ5sAAE",true,,,"Canceled",,,false,false,false,true,"RunLocalTests"
"{""type"":""DeployRequest"",""url"":""/services/data/v55.0/tooling/sobjects/DeployRequest/0Af3h00000QZQtSCAX""}","0Af3h00000QZQtSCAX",false,"2022-07-12T20:54:38.000+0000","0053h000002xQ5sAAE","2022-07-12T20:54:41.000+0000","0053h000002xQ5sAAE","2022-07-12T20:54:41.000+0000",1,0,1,0,0,0,false,false,true,"Api","2022-07-12T20:54:38.000+0000","2022-07-12T20:54:41.000+0000",,false,,,"Succeeded",,,false,false,false,true,"NoTestRun"
"{""type"":""DeployRequest"",""url"":""/services/data/v55.0/tooling/sobjects/DeployRequest/0Af3h00000QZnmZCAT""}","0Af3h00000QZnmZCAT",false,"2022-07-19T20:37:49.000+0000","0053h000002xQ5sAAE","2022-07-19T20:38:05.000+0000","0053h000002xQ5sAAE","2022-07-19T20:38:05.000+0000",105,0,105,0,0,0,true,false,true,"Api","2022-07-19T20:37:50.000+0000","2022-07-19T20:38:05.000+0000",,false,,,"Succeeded",,,false,false,false,true,
"{""type"":""DeployRequest"",""url"":""/services/data/v55.0/tooling/sobjects/DeployRequest/0Af3h00000QZoCcCAL""}","0Af3h00000QZoCcCAL",false,"2022-07-19T21:08:03.000+0000","0053h000002xQ5sAAE","2022-07-19T21:08:17.000+0000","0053h000002xQ5sAAE","2022-07-19T21:08:17.000+0000",105,0,105,0,0,0,true,false,true,"Api","2022-07-19T21:08:04.000+0000","2022-07-19T21:08:17.000+0000",,false,,,"Succeeded",,,false,false,false,true,
"{""type"":""DeployRequest"",""url"":""/services/data/v55.0/tooling/sobjects/DeployRequest/0Af3h00000QZoETCA1""}","0Af3h00000QZoETCA1",false,"2022-07-19T21:20:59.000+0000","0053h000002xQ5sAAE","2022-07-19T21:23:15.000+0000","0053h000002xQ5sAAE","2022-07-19T21:23:15.000+0000",105,0,105,69,6,75,true,false,true,"Api","2022-07-19T21:20:59.000+0000","2022-07-19T21:23:15.000+0000",,true,,,"Failed",,,false,false,false,true,"RunLocalTests"
"{""type"":""DeployRequest"",""url"":""/services/data/v55.0/tooling/sobjects/DeployRequest/0Af3h00000QZoegCAD""}","0Af3h00000QZoegCAD",false,"2022-07-20T01:03:14.000+0000","0053h000002xQ5sAAE","2022-07-20T01:05:08.000+0000","0053h000002xQ5sAAE","2022-07-20T01:05:08.000+0000",105,0,105,69,6,75,true,false,true,"Api","2022-07-20T01:03:14.000+0000","2022-07-20T01:05:08.000+0000",,true,,,"Failed",,,false,false,false,true,"RunLocalTests"
"{""type"":""DeployRequest"",""url"":""/services/data/v55.0/tooling/sobjects/DeployRequest/0Af3h00000QZrHGCA1""}","0Af3h00000QZrHGCA1",false,"2022-07-21T13:22:11.000+0000","0053h000002xQ5sAAE","2022-07-21T13:22:46.000+0000","0053h000002xQ5sAAE","2022-07-21T13:22:46.000+0000",141,1439,1580,0,0,0,true,false,true,"Api","2022-07-21T13:22:18.000+0000","2022-07-21T13:22:46.000+0000",,true,,,"Failed",,,false,false,false,true,"RunLocalTests"
"{""type"":""DeployRequest"",""url"":""/services/data/v55.0/tooling/sobjects/DeployRequest/0Af3h00000QaAITCA3""}","0Af3h00000QaAITCA3",false,"2022-08-06T03:50:34.000+0000","0053h000002xQ5sAAE","2022-08-06T03:50:37.000+0000","0053h000002xQ5sAAE","2022-08-06T03:50:37.000+0000",1,0,1,0,0,0,false,false,true,"Api","2022-08-06T03:50:34.000+0000","2022-08-06T03:50:37.000+0000",,false,,,"Succeeded",,,false,false,false,true,
"{""type"":""DeployRequest"",""url"":""/services/data/v55.0/tooling/sobjects/DeployRequest/0Af3h00000QaAIdCAN""}","0Af3h00000QaAIdCAN",false,"2022-08-06T03:56:26.000+0000","0053h000002xQ5sAAE","2022-08-06T03:56:27.000+0000","0053h000002xQ5sAAE","2022-08-06T03:56:27.000+0000",1,0,1,0,0,0,false,false,true,"Api","2022-08-06T03:56:26.000+0000","2022-08-06T03:56:27.000+0000",,false,,,"Succeeded",,,false,false,false,true,
"{""type"":""DeployRequest"",""url"":""/services/data/v55.0/tooling/sobjects/DeployRequest/0Af3h00000QaAInCAN""}","0Af3h00000QaAInCAN",false,"2022-08-06T03:59:10.000+0000","0053h000002xQ5sAAE","2022-08-06T03:59:13.000+0000","0053h000002xQ5sAAE","2022-08-06T03:59:13.000+0000",1,0,1,0,0,0,false,false,true,"Api","2022-08-06T03:59:10.000+0000","2022-08-06T03:59:13.000+0000",,false,,,"Succeeded",,,false,false,false,true,
