"sobject","name","count","total","usage"
"Account","Id",1003,1003,100
"Account","MasterRecordId",0,1003,0
"Account","Name",1003,1003,100
"Account","Type",1001,1003,99.8
"Account","ParentId",0,1003,0
"Account","BillingStreet",0,1003,0
"Account","BillingCity",0,1003,0
"Account","BillingState",409,1003,40.78
"Account","BillingPostalCode",0,1003,0
"Account","BillingCountry",1001,1003,99.8
"Account","BillingLatitude",0,1003,0
"Account","BillingLongitude",0,1003,0
"Account","BillingGeocodeAccuracy",0,1003,0
"Account","ShippingStreet",0,1003,0
"Account","ShippingCity",0,1003,0
"Account","ShippingState",0,1003,0
"Account","ShippingPostalCode",0,1003,0
"Account","ShippingCountry",0,1003,0
"Account","ShippingLatitude",0,1003,0
"Account","ShippingLongitude",0,1003,0
"Account","ShippingGeocodeAccuracy",0,1003,0
"Account","Phone",5,1003,0.5
"Account","Fax",0,1003,0
"Account","AccountNumber",0,1003,0
"Account","Website",0,1003,0
"Account","PhotoUrl",1003,1003,100
"Account","Sic",1001,1003,99.8
"Account","Industry",1001,1003,99.8
"Account","AnnualRevenue",1001,1003,99.8
"Account","NumberOfEmployees",1001,1003,99.8
"Account","Ownership",0,1003,0
"Account","TickerSymbol",0,1003,0
"Account","Rating",0,1003,0
"Account","Site",0,1003,0
"Account","CurrencyIsoCode",1003,1003,100
"Account","OwnerId",1003,1003,100
"Account","CreatedDate",1003,1003,100
"Account","CreatedById",1003,1003,100
"Account","LastModifiedDate",1003,1003,100
"Account","LastModifiedById",1003,1003,100
"Account","SystemModstamp",1003,1003,100
"Account","LastActivityDate",218,1003,21.73
"Account","LastViewedDate",0,1003,0
"Account","LastReferencedDate",0,1003,0
"Account","ChannelProgramName",0,1003,0
"Account","ChannelProgramLevelName",0,1003,0
"Account","Jigsaw",0,1003,0
"Account","JigsawCompanyId",0,1003,0
"Account","CleanStatus",1003,1003,100
"Account","AccountSource",999,1003,99.6
"Account","DunsNumber",0,1003,0
"Account","Tradestyle",0,1003,0
"Account","NaicsCode",0,1003,0
"Account","NaicsDesc",0,1003,0
"Account","YearStarted",0,1003,0
"Account","SicDesc",0,1003,0
"Account","DandbCompanyId",0,1003,0
"Account","CustomerPriority__c",0,1003,0
"Account","SLA__c",0,1003,0
"Account","Active__c",0,1003,0
"Account","NumberofLocations__c",0,1003,0
"Account","UpsellOpportunity__c",0,1003,0
"Account","SLASerialNumber__c",0,1003,0
"Account","SLAExpirationDate__c",0,1003,0
"Account","Segment__c",1001,1003,99.8
