"Hyperforce Instance","Data Center"
"AUS1","AWS Asia Pacific (Sydney) Region"
"AUS2S","AWS Asia Pacific (Sydney) Region"
"AUS3","AWS Asia Pacific (Sydney) Region"
"AUS4S","AWS Asia Pacific (Sydney) Region"
"AUS5","AWS Asia Pacific (Sydney) Region"
"AUS6S","AWS Asia Pacific (Sydney) Region"
"AUS7","AWS Asia Pacific (Sydney) Region"
"AUS9","AWS Asia Pacific (Sydney) Region"
"AUS11","AWS Asia Pacific (Sydney) Region"
"AUS13","AWS Asia Pacific (Sydney) Region"
"AUS14S","AWS Asia Pacific (Sydney) Region"
"AUS16S","AWS Asia Pacific (Sydney) Region"
"AUS18S","AWS Asia Pacific (Sydney) Region"
"AUS20S","AWS Asia Pacific (Sydney) Region"
"AUS22S","AWS Asia Pacific (Sydney) Region"
"AUS23","AWS Asia Pacific (Sydney) Region"
"AUS24S","AWS Asia Pacific (Sydney) Region"
"AUS25","AWS Asia Pacific (Sydney) Region"
"AUS26S","AWS Asia Pacific (Sydney) Region"
"AUS27","AWS Asia Pacific (Sydney) Region"
"AUS28S","AWS Asia Pacific (Sydney) Region"
"AUS36S","AWS Asia Pacific (Sydney) Region"
"AUS38S","AWS Asia Pacific (Sydney) Region"
"AUS43","AWS Asia Pacific (Sydney) Region"
"AUS47","AWS Asia Pacific (Sydney) Region"
"AUS75","AWS Asia Pacific (Sydney) Region"
"AUS77","AWS Asia Pacific (Sydney) Region"
"BRA1","AWS South America (Sao Paulo) Region"
"BRA2S","AWS South America (Sao Paulo) Region"
"BRA3","AWS South America (Sao Paulo) Region"
"BRA4S","AWS South America (Sao Paulo) Region"
"BRA5","AWS South America (Sao Paulo) Region"
"BRA6S","AWS South America (Sao Paulo) Region"
"BRA8S","AWS South America (Sao Paulo) Region"
"CAN1","AWS Canada (Central) Region"
"CAN2S","AWS Canada (Central) Region"
"CAN4S","AWS Canada (Central) Region"
"CAN6S","AWS Canada (Central) Region"
"CAN8S","AWS Canada (Central) Region"
"CAN11","AWS Canada (Central) Region"
"CAN17","AWS Canada (Central) Region"
"CAN20S","AWS Canada (Central) Region"
"CAN25","AWS Canada (Central) Region"
"CAN26","AWS Canada (Central) Region"
"CAN27","AWS Canada (Central) Region"
"CAN28","AWS Canada (Central) Region"
"CAN29","AWS Canada (Central) Region"
"DEU1","AWS Europe (Frankfurt) Region"
"DEU2S","AWS Europe (Frankfurt) Region"
"DEU3","AWS Europe (Frankfurt) Region"
"DEU4S","AWS Europe (Frankfurt) Region"
"DEU5","AWS Europe (Frankfurt) Region"
"DEU6S","AWS Europe (Frankfurt) Region"
"DEU8S","AWS Europe (Frankfurt) Region"
"DEU10S","AWS Europe (Frankfurt) Region"
"DEU11","AWS Europe (Frankfurt) Region"
"DEU12S","AWS Europe (Frankfurt) Region"
"DEU13","AWS Europe (Frankfurt) Region"
"DEU14S","AWS Europe (Frankfurt) Region"
"DEU16S","AWS Europe (Frankfurt) Region"
"DEU20S","AWS Europe (Frankfurt) Region"
"DEU25","AWS Europe (Frankfurt) Region"
"DEU36","AWS Europe (Frankfurt) Region"
"DEU38","AWS Europe (Frankfurt) Region"
"DEU46","AWS Europe (Frankfurt) Region"
"DEU48S","AWS Europe (Frankfurt) Region"
"DEU50S","AWS Europe (Frankfurt) Region"
"FRA1","AWS Europe (Paris) Region"
"FRA2S","AWS Europe (Paris) Region"
"FRA4S","AWS Europe (Paris) Region"
"FRA5","AWS Europe (Paris) Region"
"FRA6S","AWS Europe (Paris) Region"
"FRA7","AWS Europe (Paris) Region"
"FRA8S","AWS Europe (Paris) Region"
"FRA9","AWS Europe (Paris) Region"
"FRA11","AWS Europe (Paris) Region"
"FRA12S","AWS Europe (Paris) Region"
"FRA19","AWS Europe (Paris) Region"
"FRA24S","AWS Europe (Paris) Region"
"FRA32","AWS Europe (Paris) Region"
"FRA34","AWS Europe (Paris) Region"
"FRA36","AWS Europe (Paris) Region"
"GBR1","Europe (London)"
"GBR2S","Europe (London)"
"GBR4S","Europe (London)"
"IND1","AWS India (Mumbai) Region"
"IND2S","AWS India (Mumbai) Region"
"IND3S","AWS India (Mumbai) Region"
"IND4S","AWS India (Mumbai) Region"
"IND5","AWS India (Mumbai) Region"
"IND6S","AWS India (Mumbai) Region"
"IND7","AWS India (Mumbai) Region"
"IND8S","AWS India (Mumbai) Region"
"IND9","AWS India (Mumbai) Region"
"IND10S","AWS India (Mumbai) Region"
"IND11","AWS India (Mumbai) Region"
"IND12S","AWS India (Mumbai) Region"
"IND13","AWS India (Mumbai) Region"
"IND14S","AWS India (Mumbai) Region"
"IND15","AWS India (Mumbai) Region"
"IND16S","AWS India (Mumbai) Region"
"IND17","AWS India (Mumbai) Region"
"IND18S","AWS India (Mumbai) Region"
"IND19","AWS India (Mumbai) Region"
"IND20S","AWS India (Mumbai) Region"
"IND21","AWS India (Mumbai) Region"
"IND22S","AWS India (Mumbai) Region"
"IND23","AWS India (Mumbai) Region"
"IND24S","AWS India (Mumbai) Region"
"IND25","AWS India (Mumbai) Region"
"IND26S","AWS India (Mumbai) Region"
"IND27","AWS India (Mumbai) Region"
"IND28S","AWS India (Mumbai) Region"
"IND37","AWS India (Mumbai) Region"
"IND39","AWS India (Mumbai) Region"
"IND41","AWS India (Mumbai) Region"
"IND43","AWS India (Mumbai) Region"
"IND47","AWS India (Mumbai) Region"
"IND54S","AWS India (Mumbai) Region"
"IND56","AWS India (Mumbai) Region"
"IND58","AWS India (Mumbai) Region"
"JPN1","AWS Japan (Tokyo) Region"
"JPN2S","AWS Japan (Tokyo) Region"
"JPN3","AWS Japan (Tokyo) Region"
"JPN4S","AWS Japan (Tokyo) Region"
"JPN5","AWS Japan (Tokyo) Region"
"JPN6S","AWS Japan (Tokyo) Region"
"JPN7","AWS Japan (Tokyo) Region"
"JPN8S","AWS Japan (Tokyo) Region"
"JPN10S","AWS Japan (Tokyo) Region"
"JPN12S","AWS Japan (Tokyo) Region"
"JPN17","AWS Japan (Tokyo) Region"
"JPN18S","AWS Japan (Tokyo) Region"
"JPN19","AWS Japan (Tokyo) Region"
"JPN20S","AWS Japan (Tokyo) Region"
"JPN21","AWS Japan (Tokyo) Region"
"JPN22S","AWS Japan (Tokyo) Region"
"JPN24S","AWS Japan (Tokyo) Region"
"JPN28S","AWS Japan (Tokyo) Region"
"KOR1","AWS Korea (Seoul) Region"
"KOR2S","AWS Korea (Seoul) Region"
"KOR4S","AWS Korea (Seoul) Region"
"SWE1","AWS Europe (Stockholm) Region"
"SWE2S","AWS Europe (Stockholm) Region"
"SWE4S","AWS Europe (Stockholm) Region"
"SGP1","AWS Asia Pacific (Singapore) Region"
"SGP2S","AWS Asia Pacific (Singapore) Region"
"SGP3","AWS Asia Pacific (Singapore) Region"
"SGP4S","AWS Asia Pacific (Singapore) Region"
"SGP6S","AWS Asia Pacific (Singapore) Region"
"SGP8S","AWS Asia Pacific (Singapore) Region"
"SGP10","AWS Asia Pacific (Singapore) Region"
"USA1","AWS US East 1 (Northern Virginia) Region"
"USA2S","AWS US East 1 (Northern Virginia) Region"
"USA3S","AWS US East 1 (Northern Virginia) Region"
"USA7","AWS US West 2 (Oregon) Region"
"USA8S","AWS US West 2 (Oregon) Region"
"USA13","AWS US West 2 (Oregon) Region"
"USA15","AWS US West 2 (Oregon) Region"
"USA17","AWS US West 2 (Oregon) Region"
"USA19","AWS US West 2 (Oregon) Region"
"USA20S","AWS US West 2 (Oregon) Region"
"USA22S","AWS US West 2 (Oregon) Region"
"USA26","AWS US West 2 (Oregon) Region"
"USA28S","AWS US West 2 (Oregon) Region"
"USA30S","AWS US West 2 (Oregon) Region"
"USA32S","AWS US West 2 (Oregon) Region"
"USA34","AWS US West 2 (Oregon) Region"
"USA36","AWS US West 2 (Oregon) Region"
"USA59","AWS US West 2 (Oregon) Region"
"USA60S","AWS US West 2 (Oregon) Region"
"USA61","AWS US West 2 (Oregon) Region"
"USA62S","AWS US West 2 (Oregon) Region"
"USA202S","AWS US West 2 (Oregon) Region"
"USA222S","AWS US West 2 (Oregon) Region"
