"Public Cloud Instance ","Data Center"
"AP9","AWS Asia Pacific (Sydney) Region"
"AP14","AWS Asia Pacific (Sydney) Region"
"AP20","AWS Asia Pacific (Sydney) Region"
"AP21","AWS Asia Pacific (Sydney) Region"
"AP22","AWS Asia Pacific (Sydney) Region"
"AP28","AWS Asia Pacific (Sydney) Region"
"NA92","AWS Canada (Central) Region"
"NA99","AWS Canada (Central) Region"
"NA107","AWS GovCloud (USA)"
"NA146","AWS Canada (Central) Region"
"NA154","AWS Canada (Central) Region"
"NA155","AWS Canada (Central) Region"
"NA196","AWS Canada (Central) Region"
"NA214","AWS GovCloud (USA)"
"NA215","AWS GovCloud (USA)"
"NA217","AWS GovCloud (USA)"
"NA218","AWS GovCloud (USA)"
"NA219","AWS GovCloud (USA)"
"CS98 ","AWS Canada (Central) Region"
"CS99","AWS Canada (Central) Region"
"CS115","AWS Asia Pacific (Sydney) Region"
"CS116","AWS Asia Pacific (Sydney) Region"
"CS132","AWS GovCloud (USA)"
"CS133","AWS GovCloud (USA)"
"CS137","AWS Asia Pacific (Sydney) Region"
"CS138","AWS Canada (Central) Region"
"CS142","AWS Canada (Central) Region"
"CS148","AWS Canada (Central) Region"
"CS151","AWS Asia Pacific (Sydney) Region"
"CS152","AWS Asia Pacific (Sydney) Region"
"CS234","AWS GovCloud (USA)"
