"SF Managed Instance","Data Centers"
"AP0","Kobe, JPN / Tokyo, JPN"
"AP3","Kobe, JPN / Tokyo, JPN"
"AP4","Kobe, JPN / Tokyo, JPN"
"AP5","Kobe, JPN / Tokyo, JPN"
"AP6","Kobe, JPN / Tokyo, JPN"
"AP7","Kobe, JPN / Tokyo, JPN"
"AP8","Kobe, JPN / Tokyo, JPN"
"AP10","Kobe, JPN / Tokyo, JPN"
"AP11","Kobe, JPN / Tokyo, JPN"
"AP12","Kobe, JPN / Tokyo, JPN"
"AP13","Kobe, JPN / Tokyo, JPN"
"AP15","Kobe, JPN / Tokyo, JPN"
"AP16","Kobe, JPN / Tokyo, JPN"
"AP17","Kobe, JPN / Tokyo, JPN"
"AP18","Kobe, JPN / Tokyo, JPN"
"AP19","Kobe, JPN / Tokyo, JPN"
"AP24","Kobe, JPN / Tokyo, JPN"
"AP25","Kobe, JPN / Tokyo, JPN"
"AP26","Kobe, JPN / Tokyo, JPN"
"AP27","Kobe, JPN / Tokyo, JPN"
"EU16","Frankfurt, DE / Paris, FRA"
"EU17","Frankfurt, DE / Paris, FRA"
"EU18","Frankfurt, DE / Paris, FRA"
"EU19","Frankfurt, DE / Paris, FRA"
"EU25","Frankfurt, DE / Paris, FRA"
"EU26","Frankfurt, DE / Paris, FRA"
"EU27","Frankfurt, DE / Paris, FRA"
"EU28","Frankfurt, DE / Paris, FRA"
"EU29","Frankfurt, DE / Paris, FRA"
"EU30","Frankfurt, DE / Paris, FRA"
"EU31","Frankfurt, DE / Paris, FRA"
"EU32","Frankfurt, DE / Paris, FRA"
"EU33","Frankfurt, DE / Paris, FRA"
"EU34","Frankfurt, DE / Paris, FRA"
"EU35","Frankfurt, DE / Paris, FRA"
"EU36","Frankfurt, DE / Paris, FRA"
"EU37","Frankfurt, DE / Paris, FRA"
"EU38","Frankfurt, DE / Paris, FRA"
"EU39","Frankfurt, DE / Paris, FRA"
"EU40","Frankfurt, DE / Paris, FRA"
"EU41","Frankfurt, DE / Paris, FRA"
"EU42","Frankfurt, DE / Paris, FRA"
"EU43","Frankfurt, DE / Paris, FRA"
"EU44","Frankfurt, DE / Paris, FRA"
"EU45","Frankfurt, DE / Paris, FRA"
"EU46","Frankfurt, DE / Paris, FRA"
"EU47","Frankfurt, DE / Paris, FRA"
"EU48","Frankfurt, DE / Paris, FRA"
"GS0","Chicago, USA / Phoenix, USA"
"UM1","London, UK (North) / London, UK (West)"
"UM2","London, UK (North) / London, UK (West)"
"UM3","London, UK (North) / London, UK (West)"
"UM4","London, UK (North) / London, UK (West)"
"UM5","London, UK (North) / London, UK (West)"
"UM6","London, UK (North) / London, UK (West)"
"UM7","London, UK (North) / London, UK (West)"
"UM8","London, UK (North) / London, UK (West)"
"UM9","London, UK (North) / London, UK (West)"
