Key Prefix,Object Type,Notes
000,EmptyKey,Ref
001,Account,
002,Note,Doc
003,Contact,
005,User,
006,Opportunity,
007,Activity,
008,OpportunityHistory,
00A,FORECAST_ITEM,
00B,ListView,
00C,DeleteEvent,/DELETE_EVENT
00D,Organization,
00E,UserRole,
00F,QUEUE,- TDC
00G,Group,
00I,Partner,"AlsoOpportunityPartner, which ""is automatically created when a Partner object is created for a partner relationship between an account and an opportunity"""
00I,AccountPartner,/Partner
00I,OpportunityPartner,/Partner
00J,OpportunityCompetitor,
00K,OpportunityContactRole,
00M,MobileSettingsAssignment,
00N,CustomFieldDefinition,- Setup > Create > Objects > [Your Object] > [Your Field]
00O,Report,
00P,Attachment,
00Q,Lead,
00R,MassOperationsSubsetResults,
00S,ImportQueue,
00T,Task,
00U,Event,Doc
00X,EmailTemplate,
00Y,EmailTemp,
00a,COMMENTS,
00a,CaseComment,orIdeaCommentUse caution as there are at least two object types exposed via the partner API with the same keyPrefix!
00a,IdeaComment,orCaseCommentUse caution as there are at least two object types exposed via the partner API with the same keyPrefix!
00b,WebLink,- Custom Button or Link - CUSTOM_RESOURCE_LINK
00c,Training,
00d,AutomatedProcessUserId,"TBC - In v48, User.UserName field for Automated Process user is autoproc@00d0q0000000okqeaq"
00e,Profile,
00f,MH_BLUESHEET,
00g,MH_GOLDSHEET,
00h,Layout,- Page Layout
00i,Pricebook,
00j,Product,- PRICEBOOK_ENTRY_MAPPING
00k,OpportunityLineItem,
00l,Folder,
00m,EMAIL_ATTACHMENT_LOOKUP,
00n,EMAIL_ATTACHMENT_ARCHIVE,
00o,OpportunityLineItemSchedule,"DocRepresents information about the quantity, revenue distribution, and delivery dates for a particular OpportunityLineItem.Products, Price Books, and Schedules Overview"
00p,UserTeamMember,
00q,OpportunityTeamMember,"Doc- ""This object is available only in organizations that have enabled team selling."""
00r,AccountShare,
00s,AccountOwnerSharingRule,
00t,OpportunityShare,
00u,OpportunityOwnerSharingRule,
00v,CampaignMember,
00w,MassOperationsNotification,/ PAYMENT_APPLICATION
00x,BILLED_PRODUCT,
00y,PURCHASE_RULE,
00z,PURCHASE_RULE_ENTRY,
010,CaseSolution,
011,GroupMember,
012,RecordType,
013,RecordTypePicklist,
014,ProfileRecordType,
015,Document,
016,BrandTemplate,Doc(Letterhead)
017,EntityHistory,Prefix for all xxxHistory objects (Standard/custom) except OpportunityHistory which is 008
018,EmailStatus,
019,BusinessProcess,
01A,BusinessProcessPicklist,
01B,LayoutSection,
01C,LayoutItem,
01D,UserAccountTeamMember,
01E,EntityAttributes,
01G,ProfileLayout,
01H,MailmergeTemplate,
01I,CustomEntityDefinition,a.k.a. External Object
01J,PicklistMaster,Use caution as there are at least two object types exposed via the partner API with the same keyPrefix!
01J,LeadStatus,/PicklistMaster
01J,OpportunityStage,/PicklistMaster
01K,ActivityMetricRollupBase,
01L,CurrencyType,
01M,AccountTeamMember,
01N,Scontrol,
01O,USER_UI_CONFIGURATION,
01P,PermissionSetTabSetting,
01Q,WorkflowRule,/AssignmentRuleDocs
01Q,AssignmentRule,
01R,RuleFilter,
01S,RuleFilterItem,
01T,RuleFilterAction,
01U,ActionAssignEscalate,
01V,ActionTask,
01W,ActionEmail,
01X,ActionEmailRecipient,
01Y,CampaignMemberStatus,
01Z,Dashboard,Doc
01a,DashboardComponent,
01b,ListViewCriterion,
01c,ListViewDisplayColumn,
01d,FOLDER_GROUPS,
01e,PicklistSet,
01f,Scorecard,/ WEBEX_MEETING
01g,API_QUERY,The first part of the QueryLocatory returned for an API SOQL query that needs to be paged.
01h,Translation,
01i,TRANSLATION_USER,
01j,LocalizedValue,
01k,FieldPermissions,a.k.a. PROFILE_FLS_ITEM
01l,ActionResponse,
01m,BusinessHours,
01n,CaseShare,
01o,LeadShare,
01p,ApexClass,Doc
01q,ApexTrigger,
01r,CustomTabDefinition,Visualforce Tab
01s,Pricebook2,
01t,Product2,
01u,PricebookEntry,
01v,PricebookShare,
01w,OpportunityUpdateReminder,
01x,OPP_UPDATE_REMINDER_STATS,
01y,CaseOwnerSharingRule,
01z,CaseEscalation,
020,ExternalIdMap,/EventAttendee
021,QUANTITY_FORECAST,
022,FiscalYearSettings,
023,Calendar,
024,CalendarShare,
025,ListLayoutItem,
026,Period,
027,REVENUE_FORECAST,
028,OPPORTUNITY_OVERRIDE,
029,LINEITEM_OVERRIDE,
02A,LeadOwnerSharingRule,
02B,LabelDefinition,
02C,LabelData,
02D,CaseHistory2,
02E,HELP_SETTING,
02F,CustomFieldMap,
02G,TenantSecret,
02H,EltWorkflowJobDetail,/MH_GOLD_PROGRAM
02I,InsightsApplication,/MH_GOLD_INFORMATION
02J,RecommendationAudience,
02K,Dataflow,MH_GOLD_ACTION
02L,DataflowVersion,/MH_CUSTOMER_CRITERION
02M,DatasetAccess,/MH_GREENSHEET
02N,ContentLogMetricsByOrg,
02O,DatasetRegister,/MH_GREEN_GET_INFO
02P,DataflowGroupMember,/MH_CONTACT_ROLE
02Q,DataflowGroupDependency,/MH_INFORMATION
02R,USER_PREFERENCE2,
02S,HTML_COMPONENT,
02T,CustomPage,
02U,CustomPageItem,
02V,PageComponent,
02W,DataflowGroupTrigger,
02X,CustomPageProfile,
02Y,UserComponentData,
02Z,AccountContactRole,
02a,ContractContactRole,
02b,ComponentResourceLink,
02c,SharingRule,
02c,VoiceCallRecordingShare,
02c,VoiceCallShare,
02d,DIVISION,
02e,DIVISION_WORKFLOW_RULE,
02f,DelegateGroup,
02g,DelegateGroupMember,
02h,DelegateGroupGrant,
02i,Asset,
02j,PROFILE_ENTITY_PERMISSIONS,CategoryAccess
02k,ListLayout,
02l,OUTBOUND_QUEUE,
02m,CustomIndex,
02n,CategoryNode,
02o,CategoryData,
02p,DivTransferEvent,
02q,LayoutItemColumn,
02r,OpportunityAlert,
02s,EmailMessage,
02t,EmailRoutingAddress,
02u,TabSet,AKA. Apps
02v,TabSetMember,
02w,LoginIpRange,
02x,LoginHours,
02y,ReportAggregate,
02z,ReportColorRange,
030,DataflowRequest,/PROFILE_TAB_SET
031,USER_TAB_SET_MEMBER,
032,ACC_TERRITORY_RULE,
033,AllPackage,Package being built in the developer org
033,MetadataPackage,
034,PackageMember,
035,SelfServiceUser,
036,DataAssessmentConfigItem,
037,ReportColumn,
038,ReportFilterItem,
039,ReportBreak,
