"attributes","Id","MetadataComponentId","MetadataComponentName","MetadataComponentNamespace","RefMetadataComponentId","RefMetadataComponentName","RefMetadataComponentNamespace","RefMetadataComponentType"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","Account","Account",,"0M04x000005edyGCAQ","Account_Record_Page",,"FlexiPage"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x000008jJVuAAM","Simple",,"00N4x00000TeOMwEAN","Active",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x000008jJVuAAM","Simple",,"00N4x00000TeOMxEAN","CustomerPriority",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x000008jJVuAAM","Simple",,"00N4x00000TeOMyEAN","NumberofLocations",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x000008jJVuAAM","Simple",,"00N4x00000TeOMzEAN","SLA",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x000008jJVuAAM","Simple",,"00N4x00000TeON0EAN","SLAExpirationDate",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x000008jJVuAAM","Simple",,"00N4x00000TeON1EAN","SLASerialNumber",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x000008jJVuAAM","Simple",,"00N4x00000TeON2EAN","UpsellOpportunity",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x000008jJVuAAM","Simple",,"00N4x00000bSKanEAG","Comments",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x000008jJVuAAM","Simple",,"00N4x00000bSkDuEAK","StartDate",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x000008jJVuAAM","Simple",,"00b4x000002BmbmAAC","Billing",,"WebLink"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x000008jM7mAAE","Tree Layout",,"00N4x00000bSm4VEAS","quantity_del",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e4vAAA","Case (Marketing) Layout",,"00N4x00000TeON4EAN","PotentialLiability",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e4vAAA","Case (Marketing) Layout",,"00N4x00000TeON5EAN","Product",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e4vAAA","Case (Marketing) Layout",,"00N4x00000TeON6EAN","SLAViolation",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e4wAAA","Case (Sales) Layout",,"00N4x00000TeON4EAN","PotentialLiability",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e4wAAA","Case (Sales) Layout",,"00N4x00000TeON5EAN","Product",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e4wAAA","Case (Sales) Layout",,"00N4x00000TeON6EAN","SLAViolation",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e4xAAA","Case (Support) Layout",,"00N4x00000TeON3EAN","EngineeringReqNumber",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e4xAAA","Case (Support) Layout",,"00N4x00000TeON4EAN","PotentialLiability",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e4xAAA","Case (Support) Layout",,"00N4x00000TeON5EAN","Product",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e4xAAA","Case (Support) Layout",,"00N4x00000TeON6EAN","SLAViolation",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e4xAAA","Case (Support) Layout",,"00b4x000002BmbnAAC","Up-sell / Cross-sell Opportunity",,"WebLink"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e4yAAA","Case Layout",,"00N4x00000TeON3EAN","EngineeringReqNumber",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e4yAAA","Case Layout",,"00N4x00000TeON4EAN","PotentialLiability",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e4yAAA","Case Layout",,"00N4x00000TeON5EAN","Product",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e4yAAA","Case Layout",,"00N4x00000TeON6EAN","SLAViolation",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e4yAAA","Case Layout",,"00b4x000002BmbnAAC","Up-sell / Cross-sell Opportunity",,"WebLink"
