"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","","/private/tmp/deployment/unpackaged/classes/AccessToken.cls","3","1","Missing ApexDoc comment","Documentation","ApexDoc"
"1","","/private/tmp/deployment/unpackaged/classes/AccountController.cls","3","2","Missing ApexDoc comment","Documentation","ApexDoc"
"2","","/private/tmp/deployment/unpackaged/classes/AccountController.cls","3","4","Missing ApexDoc comment","Documentation","ApexDoc"
"3","","/private/tmp/deployment/unpackaged/classes/AccountController.cls","3","5","Validate CRUD permission before SOQL/DML operation","Security","ApexCRUDViolation"
"1","","/private/tmp/deployment/unpackaged/classes/AccountRESTController.cls","3","3","Missing ApexDoc comment","Documentation","ApexDoc"
"2","","/private/tmp/deployment/unpackaged/classes/AccountRESTController.cls","3","5","Missing ApexDoc comment","Documentation","ApexDoc"
"3","","/private/tmp/deployment/unpackaged/classes/AccountRESTController.cls","3","10","Validate CRUD permission before SOQL/DML operation","Security","ApexCRUDViolation"
"1","","/private/tmp/deployment/unpackaged/classes/ApexClassForTests.cls","3","5","Missing ApexDoc comment","Documentation","ApexDoc"
"2","","/private/tmp/deployment/unpackaged/classes/ApexClassForTests.cls","3","10","Avoid empty block statements.","Error Prone","EmptyStatementBlock"
"3","","/private/tmp/deployment/unpackaged/classes/ApexClassForTests.cls","3","18","Missing ApexDoc @description","Documentation","ApexDoc"
"4","","/private/tmp/deployment/unpackaged/classes/ApexClassForTests.cls","3","18","Missing ApexDoc @return","Documentation","ApexDoc"
"5","","/private/tmp/deployment/unpackaged/classes/ApexClassForTests.cls","3","25","Missing ApexDoc comment","Documentation","ApexDoc"
"6","","/private/tmp/deployment/unpackaged/classes/ApexClassForTests.cls","3","31","Missing ApexDoc comment","Documentation","ApexDoc"
"7","","/private/tmp/deployment/unpackaged/classes/ApexClassForTests.cls","3","33","Avoid empty block statements.","Error Prone","EmptyStatementBlock"
"8","","/private/tmp/deployment/unpackaged/classes/ApexClassForTests.cls","3","39","Avoid empty block statements.","Error Prone","EmptyStatementBlock"
"9","","/private/tmp/deployment/unpackaged/classes/ApexClassForTests.cls","3","39","Avoid empty if statements","Error Prone","EmptyIfStmt"
"10","","/private/tmp/deployment/unpackaged/classes/ApexClassForTests.cls","3","39","Avoid empty if statements","Error Prone","EmptyIfStmt"
"11","","/private/tmp/deployment/unpackaged/classes/ApexClassForTests.cls","3","42","Avoid empty block statements.","Error Prone","EmptyStatementBlock"
"12","","/private/tmp/deployment/unpackaged/classes/ApexClassForTests.cls","3","45","Avoid empty block statements.","Error Prone","EmptyStatementBlock"
"13","","/private/tmp/deployment/unpackaged/classes/ApexClassForTests.cls","3","52","Avoid empty block statements.","Error Prone","EmptyStatementBlock"
"14","","/private/tmp/deployment/unpackaged/classes/ApexClassForTests.cls","3","52","Avoid empty while statements","Error Prone","EmptyWhileStmt"
"15","","/private/tmp/deployment/unpackaged/classes/ApexClassForTests.cls","3","74","Missing ApexDoc comment","Documentation","ApexDoc"
"16","","/private/tmp/deployment/unpackaged/classes/ApexClassForTests.cls","3","75","Missing ApexDoc comment","Documentation","ApexDoc"
"17","","/private/tmp/deployment/unpackaged/classes/ApexClassForTests.cls","3","77","Missing ApexDoc comment","Documentation","ApexDoc"
"18","","/private/tmp/deployment/unpackaged/classes/ApexClassForTests.cls","3","81","Avoid empty block statements.","Error Prone","EmptyStatementBlock"
"19","","/private/tmp/deployment/unpackaged/classes/ApexClassForTests.cls","3","81","Missing ApexDoc comment","Documentation","ApexDoc"
"20","","/private/tmp/deployment/unpackaged/classes/ApexClassForTests.cls","3","86","Missing ApexDoc comment","Documentation","ApexDoc"
"21","","/private/tmp/deployment/unpackaged/classes/ApexClassForTests.cls","3","90","Missing ApexDoc comment","Documentation","ApexDoc"
"22","","/private/tmp/deployment/unpackaged/classes/ApexClassForTests.cls","3","93","The enum constant field name 'thing' doesn't match '[A-Z][A-Z0-9_]*'","Code Style","FieldNamingConventions"
"23","","/private/tmp/deployment/unpackaged/classes/ApexClassForTests.cls","3","93","The enum constant field name 'thong' doesn't match '[A-Z][A-Z0-9_]*'","Code Style","FieldNamingConventions"
"1","","/private/tmp/deployment/unpackaged/classes/ApexParser.cls","3","1","Missing ApexDoc comment","Documentation","ApexDoc"
"2","","/private/tmp/deployment/unpackaged/classes/ApexParser.cls","3","1","The class 'ApexParser' has a total cyclomatic complexity of 40 (highest 3).","Design","CyclomaticComplexity"
"3","","/private/tmp/deployment/unpackaged/classes/ApexParser.cls","3","11","Missing ApexDoc comment","Documentation","ApexDoc"
"4","","/private/tmp/deployment/unpackaged/classes/ApexParser.cls","3","158","Missing ApexDoc comment","Documentation","ApexDoc"
