"type","name","dataflowName","datasetName","dashboardName","dashboardNames","lensName","lensNames","InSecurityPredicate","usageCount","inUse"
"dimension","Role.RoleNames","The_Motivator","user","The_Motivator_1","The_Motivator_2,The_Motivator_1,New_dashboard1","New_Lens","New_Lens",false,6,true
"dimension","UniqueUserName","The_Motivator","user","The_Motivator_1","The_Motivator_2,The_Motivator_1,New_dashboard1","New_Lens","New_Lens",false,6,true
"dimension","UserRoleId","The_Motivator","user","New_dashboard1","New_dashboard1","New_Lens","New_Lens",false,2,true
"dimension","IsActive","The_Motivator","user","New_dashboard1","New_dashboard1","New_Lens","New_Lens",false,2,true
"dimension","Role.ParentRoleId","The_Motivator","user","New_dashboard1","New_dashboard1","New_Lens","New_Lens",false,2,true
"dimension","Role.RolePath","The_Motivator","user",,"",,"",false,0,false
"dimension","Name","The_Motivator","user","The_Motivator_1","The_Motivator_2,The_Motivator_1,New_dashboard1","New_Lens","New_Lens",false,6,true
"dimension","Opportunity.Name","The_Motivator","user","The_Motivator_1","The_Motivator_2,The_Motivator_1",,"",false,4,true
"dimension","Role.DeveloperName","The_Motivator","user",,"",,"",false,0,false
"dimension","SmallPhotoUrl","The_Motivator","user","The_Motivator_1","The_Motivator_2,The_Motivator_1",,"",false,4,true
"dimension","FirstName","The_Motivator","user",,"",,"",false,0,false
"dimension","hasOpportunity","The_Motivator","user",,"",,"",false,0,false
"dimension","Role.ParentRole.Name","The_Motivator","user",,"",,"",false,0,false
"dimension","Role.RoleNamesPath","The_Motivator","user",,"",,"",false,0,false
"dimension","CustomFilter","The_Motivator","user",,"",,"",false,0,false
"dimension","FullPhotoUrl","The_Motivator","user",,"",,"",false,0,false
"dimension","Username","The_Motivator","user","The_Motivator_1","The_Motivator_2,The_Motivator_1,New_dashboard1","New_Lens","New_Lens",false,6,true
"dimension","Role.Name","The_Motivator","user",,"",,"",false,0,false
"dimension","Role.Roles","The_Motivator","user",,"",,"",false,0,false
"dimension","Id","The_Motivator","user","The_Motivator_1","The_Motivator_2,The_Motivator_1,New_dashboard1","New_Lens","New_Lens",true,7,true
"dimension","LastName","The_Motivator","user",,"",,"",false,0,false
"dimension","Role.Hierarchy_RoleNames","The_Motivator","user",,"",,"",false,0,false
"dimension","Role.ParentRole.DeveloperName","The_Motivator","user",,"",,"",false,0,false
"dimension","UserType","The_Motivator","user",,"",,"",false,0,false
"dimension","ManagerId","The_Motivator","user",,"",,"",false,0,false
"dimension","LastModifiedDate","The_Motivator","activity","The_Motivator_1","The_Motivator_2,The_Motivator_1",,"",false,2,true
"dimension","LastModifiedDate_Year","The_Motivator","activity",,"",,"",false,0,false
"dimension","LastModifiedDate_Quarter","The_Motivator","activity",,"",,"",false,0,false
"dimension","LastModifiedDate_Month","The_Motivator","activity",,"",,"",false,0,false
"dimension","LastModifiedDate_Week","The_Motivator","activity",,"",,"",false,0,false
"dimension","LastModifiedDate_Day","The_Motivator","activity",,"",,"",false,0,false
"dimension","LastModifiedDate_Hour","The_Motivator","activity",,"",,"",false,0,false
"dimension","LastModifiedDate_Minute","The_Motivator","activity",,"",,"",false,0,false
